date,virus_batch,library,sample_type,antibody,antibody_concentration,replicate,fastq_R1,exclude_after_counts,notes
2021-10-28,thaw-1,Lib-1,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A51_1_S1_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-1,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A51_2_S2_R1_001.fastq.gz,,VSVG_rep2
2021-10-28,thaw-1,Lib-3,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A72_1_S3_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-3,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A72_2_S4_R1_001.fastq.gz,,VSVG_rep2
2021-10-28,thaw-1,Lib-4,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B72_1_S7_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-4,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B72_2_S8_R1_001.fastq.gz,,VSVG_rep2
2021-10-28,thaw-1,Lib-2,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B1_1_S5_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-2,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B1_2_S6_R1_001.fastq.gz,,VSVG_rep2
2021-12-14,thaw-1,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/A51_rep1_REG10933_Rep1_NA_S29_R1_001.fastq.gz,,
2021-12-14,thaw-1,Lib-1,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/A51_rep1_REG10933_Rep2_NA_S30_R1_001.fastq.gz,,
2021-11-28,thaw-1,Lib-2,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211202_D00300_1386_AHNH7KBCX3/Unaligned/Project_bdadonai/B1mini_rep1_S3_R1_001.fastq.gz,,
2021-11-28,thaw-1,Lib-2,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211202_D00300_1386_AHNH7KBCX3/Unaligned/Project_bdadonai/B1mini_rep2_S4_R1_001.fastq.gz,,
2021-12-14,thaw-1,Lib-3,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/A71_rep1_267C_Rep2_NA_S18_R1_001.fastq.gz,,
2021-12-14,thaw-1,Lib-3,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/ceradfor/211228_VH00319_127_AAAT3TWM5/Unaligned/Project_ceradfor/A71_rep1_267C_Rep1_NA_S22_R1_001.fastq.gz,,
2021-12-14,thaw-1,Lib-4,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/B72_rep1_REG10933_Rep1_NA_S37_R1_001.fastq.gz,,
2021-12-14,thaw-1,Lib-4,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/B72_rep1_REG10933_Rep2_NA_S38_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,antibody,REGN10933,0.15,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep1_IC95_S17_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,antibody,REGN10933,1.39,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep1_IC97_S19_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,antibody,REGN10933,5.58,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep1_IC99_S21_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep1_NA_S15_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,antibody,REGN10933,0.15,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep2_IC95_S18_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,antibody,REGN10933,1.39,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep2_IC97_S20_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,antibody,REGN10933,5.58,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep2_IC99_S22_R1_001.fastq.gz,,
2022-02-10a,thaw-3,Lib-1,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_REG10933_Rep2_NA_S16_R1_001.fastq.gz,,
2022-02-10b,thaw-3,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_279C_Rep1_NA_S7_R1_001.fastq.gz,,
2022-02-10b,thaw-3,Lib-1,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_279C_Rep2_NA_S8_R1_001.fastq.gz,,
2022-02-10c,thaw-3,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_267C_Rep1_NA_S1_R1_001.fastq.gz,,
2022-02-10c,thaw-3,Lib-1,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220217_VH00699_64_AAAVYYMM5/Unaligned/Project_bdadonai/A51_267C_Rep2_NA_S2_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,antibody,REGN10933,0.15,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_REG10933_1_Rep1_IC95_S13_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_REG10933_1_Rep1_IC95_S13_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,antibody,REGN10933,1.39,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_REG10933_2_Rep1_IC97_S15_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_REG10933_2_Rep1_IC97_S15_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,antibody,REGN10933,5.58,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_REG10933_3_Rep1_IC99_S17_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_REG10933_3_Rep1_IC99_S17_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,antibody,REGN10933,0.15,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_REG10933_1_Rep2_IC95_S14_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_REG10933_1_Rep2_IC95_S14_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,antibody,REGN10933,1.39,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_REG10933_2_Rep2_IC97_S16_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_REG10933_2_Rep2_IC97_S16_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,antibody,REGN10933,5.58,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_REG10933_3_Rep2_IC99_S18_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_REG10933_3_Rep2_IC99_S18_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_267C_NA_Rep1_NA_S1_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_267C_NA_Rep1_NA_S1_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-2,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/B1_267C_NA_Rep2_NA_S2_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/B1_267C_NA_Rep2_NA_S2_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-1,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/A51_S2M11_NA_Rep1_NA_S23_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/A51_S2M11_NA_Rep1_NA_S23_R1_001.fastq.gz,,
2022-03-02,thaw-3,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220315_VH00699_80_AAATTNVM5/Unaligned/Project_bdadonai/A51_S2M11_NA_Rep2_NA_S24_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/220304_VH00699_73_AAATVW2M5/Unaligned/Project_bdadonai/A51_S2M11_NA_Rep2_NA_S24_R1_001.fastq.gz,,
